neighborhood_id,market_id,neighborhood,city,county,size_rank,latest_value,latest_month,base_price_per_sqft
269952,394532,Barton-McFarland,Detroit,Wayne County,1974,63109.46948432818,2026-08-31,31.55473474216409
270005,394532,Herman Gardens,Detroit,Wayne County,2036,81926.55102922431,2026-08-31,40.96327551461216
269961,394532,Brightmoor,Detroit,Wayne County,2163,48917.60698981275,2026-08-31,24.458803494906377
806191,394532,Bethune,Detroit,Wayne County,2199,65951.6715452377,2026-08-31,32.97583577261885
28380,394692,Alief,Houston,Harris County,31,209992.7181129156,2026-08-31,104.9963590564578
47651,394692,Sharpstown,Houston,Harris County,79,199032.66375119495,2026-08-31,99.51633187559747
403553,394692,Eldridge - West Oaks,Houston,Harris County,81,324758.05664209794,2026-08-31,162.37902832104896
271326,394692,Central Southwest,Houston,Harris County,88,212894.25163409908,2026-08-31,106.44712581704954
403542,394692,Kingwood,Houston,Harris County,103,333211.7933349856,2026-08-31,166.6058966674928
403558,394692,South Belt - Ellington,Houston,Harris County,104,247936.51496583596,2026-08-31,123.96825748291798
232166,394692,Clear Lake,Houston,Harris County,106,323992.35343194124,2026-08-31,161.99617671597062
238122,394692,Greater Fondren Southwest,Houston,Harris County,134,231764.6753193208,2026-08-31,115.88233765966041
403541,394692,Northside-Northline,Houston,Harris County,146,199133.5527660531,2026-08-31,99.56677638302655
271411,394692,Greater Uptown,Houston,Harris County,160,406091.9457884005,2026-08-31,203.04597289420025
403528,394692,Woodlake - Briarmeadow,Houston,Harris County,165,246128.76932598383,2026-08-31,123.06438466299191
403538,394692,Golfcrest - Bellfort - Reveille,Houston,Harris County,188,195182.7571438741,2026-08-31,97.59137857193706
25372,394856,Kendall,Miami,Miami-Dade County,74,533466.5263060635,2026-08-31,266.73326315303177
124381,394856,Flagami,Miami,Miami-Dade County,153,437350.7321416445,2026-08-31,218.67536607082226
126356,394856,Tamiami,Miami,Miami-Dade County,163,607709.4413255885,2026-08-31,303.85472066279425
124912,394856,Kendale Lakes,Miami,Miami-Dade County,172,434902.9552654417,2026-08-31,217.45147763272084
269072,394856,Little Havana,Miami,Miami-Dade County,173,377406.76574960543,2026-08-31,188.7033828748027
269228,394856,Alameda - West Flagler,Miami,Miami-Dade County,237,557309.9175765481,2026-08-31,278.65495878827403
123423,394856,Allapattah,Miami,Miami-Dade County,244,412838.291823993,2026-08-31,206.41914591199648
268938,394856,Coral Way,Miami,Miami-Dade County,274,714943.0710543644,2026-08-31,357.4715355271822
396850,394856,Kendall West,Miami,Miami-Dade County,322,342634.7573312845,2026-08-31,171.31737866564225
55477,394856,Brickell,Miami,Miami-Dade County,323,594135.2162046734,2026-08-31,297.0676081023367
220532,394856,Central,North Miami,Miami-Dade County,326,418383.3583888668,2026-08-31,209.19167919443342
54009,394856,Princeton,Homestead,Miami-Dade County,335,459712.38360458106,2026-08-31,229.85619180229054
270958,394913,Upper West Side,New York,New York County,2,1371092.8304941764,2026-08-31,685.5464152470881
270957,394913,Upper East Side,New York,New York County,3,1378885.6841484725,2026-08-31,689.4428420742363
194430,394913,East New York,New York,Kings County,6,675377.7723841583,2026-08-31,337.68888619207917
272902,394913,Bedford-Stuyvesant,New York,Kings County,7,1116711.3437002588,2026-08-31,558.3556718501294
198687,394913,Washington Heights,New York,New York County,11,553557.7477251702,2026-08-31,276.7788738625851
18131,394913,Flushing,New York,Queens County,14,786733.5954382004,2026-08-31,393.3667977191002
199001,394913,Williamsburg,New York,Kings County,15,1404351.19414625,2026-08-31,702.175597073125
403222,394913,Crown Heights,New York,Kings County,17,1155578.0207302666,2026-08-31,577.7890103651333
195267,394913,Harlem,New York,New York County,18,798784.8808030967,2026-08-31,399.39244040154836
272816,394913,Astoria,New York,Queens County,19,773950.8702514431,2026-08-31,386.97543512572156
193406,394913,Borough Park,New York,Kings County,23,1448405.787038612,2026-08-31,724.2028935193059
403131,394913,Sheepshead Bay,New York,Kings County,24,683741.0537045423,2026-08-31,341.87052685227115
214232,394974,Oxford Circle,Philadelphia,Philadelphia County,161,230458.3313015565,2026-08-31,115.22916565077824
53169,394974,Marlton,Evesham Township,Burlington County,223,502166.9920271225,2026-08-31,251.08349601356127
214146,394974,Olney,Philadelphia,Philadelphia County,247,163015.77456306492,2026-08-31,81.50788728153246
274834,394974,West Oak Lane,Philadelphia,Philadelphia County,282,209477.0292496979,2026-08-31,104.73851462484895
274451,394974,Mayfair,Philadelphia,Philadelphia County,288,234790.44712919937,2026-08-31,117.39522356459969
208850,394974,Bustleton,Philadelphia,Philadelphia County,345,387846.084529394,2026-08-31,193.923042264697
271166,394974,Cobbs Creek,Philadelphia,Philadelphia County,355,150405.5136699419,2026-08-31,75.20275683497094
403167,394974,Overbrook,Philadelphia,Philadelphia County,357,212959.5078194796,2026-08-31,106.4797539097398
215792,394974,Somerton,Philadelphia,Philadelphia County,376,392214.6331295764,2026-08-31,196.1073165647882
214954,394974,Rhawnhurst,Philadelphia,Philadelphia County,471,314239.2126420525,2026-08-31,157.11960632102625
214976,394974,Richmond,Philadelphia,Philadelphia County,524,185279.38030090823,2026-08-31,92.63969015045411
5568,394974,Lawndale,Philadelphia,Philadelphia County,551,211532.8636784973,2026-08-31,105.76643183924864
112345,394976,Maryvale,Phoenix,Maricopa County,0,326538.573311144,2026-08-31,163.26928665557202
111818,394976,Deer Valley,Phoenix,Maricopa County,10,421661.909373641,2026-08-31,210.83095468682052
112547,394976,Paradise Valley,Phoenix,Maricopa County,12,570395.2487393859,2026-08-31,285.1976243696929
267955,394976,North Mountain,Phoenix,Maricopa County,13,371038.774621556,2026-08-31,185.519387310778
267908,394976,Camelback East,Phoenix,Maricopa County,20,562885.4673753289,2026-08-31,281.44273368766443
272734,394976,Alhambra,Phoenix,Maricopa County,22,343658.6274840854,2026-08-31,171.8293137420427
267971,394976,South Mountain,Phoenix,Maricopa County,27,355768.6410012369,2026-08-31,177.88432050061846
267900,394976,Ahwatukee Foothills,Phoenix,Maricopa County,72,534264.8027927434,2026-08-31,267.13240139637173
112261,394976,Laveen,Phoenix,Maricopa County,109,421988.2372250901,2026-08-31,210.99411861254504
273652,394976,Estrella,Phoenix,Maricopa County,123,362871.3588998655,2026-08-31,181.43567944993273
267912,394976,Central City,Phoenix,Maricopa County,142,334923.9256086259,2026-08-31,167.46196280431298
267919,394976,Desert View,Phoenix,Maricopa County,143,727582.5921269325,2026-08-31,363.79129606346623
116035,395025,La Sierra,Riverside,Riverside County,304,629523.2335746385,2026-08-31,314.76161678731927
417703,395025,Corona Valley,Eastvale,Riverside County,310,941639.7433714564,2026-08-31,470.8198716857282
20265,395025,Rubidoux,Jurupa Valley,Riverside County,358,596751.1537643651,2026-08-31,298.37557688218254
417708,395025,South Corona,Corona,Riverside County,439,907798.549699693,2026-08-31,453.8992748498465
275126,395025,Ramona,Riverside,Riverside County,444,579235.4952667768,2026-08-31,289.6177476333884
118229,395025,Southridge Village,Fontana,San Bernardino County,460,589818.671549312,2026-08-31,294.909335774656
5994,395025,Mira Loma,Jurupa Valley,Riverside County,534,819404.0202094582,2026-08-31,409.7020101047291
113507,395025,Arlanza,Riverside,Riverside County,601,568119.7233245444,2026-08-31,284.05986166227217
268537,395025,University,Riverside,Riverside County,673,582869.5758873423,2026-08-31,291.43478794367115
268379,395025,Orangecrest,Riverside,Riverside County,675,761596.8614764152,2026-08-31,380.79843073820757
273509,395025,DRNAG,San Bernardino,San Bernardino County,739,483776.0512073548,2026-08-31,241.88802560367742
7314,395025,Sun City,Menifee,Riverside County,772,428149.5449071531,2026-08-31,214.07477245357657
818981,395057,Clayton Valley,Concord,Contra Costa County,178,753459.6769751487,2026-08-31,376.72983848757434
268384,395057,Outer Sunset,San Francisco,San Francisco County,187,1620284.1783400376,2026-08-31,810.1420891700188
115169,395057,Four Corners,Concord,Contra Costa County,265,679582.1993010608,2026-08-31,339.7910996505304
274552,395057,Mission,San Francisco,San Francisco County,312,1177619.098074749,2026-08-31,588.8095490373746
268491,395057,South of Market,San Francisco,San Francisco County,405,810545.8624681566,2026-08-31,405.2729312340783
268383,395057,Outer Richmond,San Francisco,San Francisco County,410,1728155.7125855174,2026-08-31,864.0778562927587
786333,395057,Telegraph,Berkeley,Alameda County,556,1229378.4837929497,2026-08-31,614.6892418964749
268396,395057,Parkside,San Francisco,San Francisco County,558,1603627.9082477123,2026-08-31,801.8139541238562
268219,395057,Inner Richmond,San Francisco,San Francisco County,566,2056619.6610188077,2026-08-31,1028.3098305094038
3563,395057,Bay Point,Pittsburg,Contra Costa County,648,501752.65610657056,2026-08-31,250.87632805328528
417493,395057,Tenderloin,San Francisco,San Francisco County,658,477286.0423453571,2026-08-31,238.64302117267857
268385,395057,Pacific Heights,San Francisco,San Francisco County,686,2106791.0080541014,2026-08-31,1053.3955040270507
271985,395078,South End,Tacoma,Pierce County,259,430467.03466387256,2026-08-31,215.23351733193627
250206,395078,Capitol Hill,Seattle,King County,309,669854.8041111062,2026-08-31,334.9274020555531
273587,395078,Eastside-ENACT,Tacoma,Pierce County,375,432152.4861077939,2026-08-31,216.07624305389697
272001,395078,University District,Seattle,King County,411,849762.3908565553,2026-08-31,424.88119542827764
